Player,PlayerLine
JULIET,To say to me that thou art out of breath?
JULIET,The excuse that thou dost make in this delay
JULIET,Is longer than the tale thou dost excuse.
JULIET,"Is thy news good, or bad? answer to that,"
JULIET,"Say either, and I'll stay the circumstance:"
JULIET,"Let me be satisfied, is't good or bad?"
JULIET,"No, no: but all this did I know before."
JULIET,What says he of our marriage? what of that?
JULIET,"I' faith, I am sorry that thou art not well."
JULIET,"Sweet, sweet, sweet nurse, tell me, what says my love?"
JULIET,"Where is my mother! why, she is within,"
JULIET,Where should she be? How oddly thou repliest!
JULIET,"'Your love says, like an honest gentleman,"
JULIET,Where is your mother?'
JULIET,"Here's such a coil! come, what says Romeo?"
JULIET,I have.
JULIET,"Hie to high fortune! Honest nurse, farewell."
JULIET,Exeunt
JULIET,SCENE VI. Friar Laurence's cell.
JULIET,Enter FRIAR LAURENCE and ROMEO
ROMEO,"Amen, amen! but come what sorrow can,"
ROMEO,It cannot countervail the exchange of joy
ROMEO,That one short minute gives me in her sight:
ROMEO,"Do thou but close our hands with holy words,"
ROMEO,"Then love-devouring death do what he dare,"
ROMEO,It is enough I may but call her mine.
JULIET,Good even to my ghostly confessor.
JULIET,"As much to him, else is his thanks too much."
ROMEO,"Ah, Juliet, if the measure of thy joy"
ROMEO,Be heap'd like mine and that thy skill be more
ROMEO,"To blazon it, then sweeten with thy breath"
ROMEO,"This neighbour air, and let rich music's tongue"
ROMEO,Unfold the imagined happiness that both
ROMEO,Receive in either by this dear encounter.
JULIET,"Conceit, more rich in matter than in words,"
JULIET,"Brags of his substance, not of ornament:"
JULIET,"They are but beggars that can count their worth,"
JULIET,But my true love is grown to such excess
JULIET,I cannot sum up sum of half my wealth.
ROMEO,"Tybalt, the reason that I have to love thee"
ROMEO,Doth much excuse the appertaining rage
ROMEO,"To such a greeting: villain am I none,"
ROMEO,"Therefore farewell, I see thou know'st me not."
ROMEO,"I do protest, I never injured thee,"
ROMEO,"But love thee better than thou canst devise,"
ROMEO,Till thou shalt know the reason of my love:
ROMEO,"And so, good Capulet,--which name I tender"
ROMEO,"As dearly as my own,--be satisfied."
ROMEO,"Gentle Mercutio, put thy rapier up."
ROMEO,"Draw, Benvolio, beat down their weapons."
